requirement_id,description,type
REQ-1,系统应支持用户对一个或多个商品进行结算，每个商品必须包含商品单价、购买数量和当前库存信息。,functional
REQ-2,系统必须验证购物车和每个商品的输入合法性：购物车不能为空；商品单价必须大于0；购买数量必须为整数且大于0；购买数量不能超过当前库存。,functional
REQ-3,若购物车为空、商品单价非法、购买数量非法或库存不足，系统应拒绝结算并显示对应的错误信息，如“购物车不能为空”“商品单价非法”“购买数量非法”“库存不足”。,functional
REQ-4,系统应根据每个商品的单价和购买数量计算商品小计（商品小计 = 商品单价 × 购买数量），并将所有商品小计相加得到订单原价。,functional
REQ-5,系统应根据订单原价计算运费：当订单原价大于或等于200元时免收运费，否则收取10元运费。,functional
REQ-6,系统必须按照“输入校验→商品小计计算→订单原价计算→运费计算→最终金额计算”的顺序完成结算；若输入校验失败，应立即终止结算流程并返回失败状态，不进行后续金额计算。,functional
REQ-7,最终应付金额 = 订单原价 + 运费；最终应付金额不能小于0，且金额结果应保留两位小数。,functional
REQ-8,当所有商品信息合法、库存充足且金额计算正常时，系统应允许结算成功，并返回订单原价、运费、最终应付金额和结算成功状态。,functional
REQ-9,当购物车为空、商品单价非法、购买数量非法、库存不足或金额计算异常时，系统应拒绝结算，返回结算失败状态，并保留购物车内容。,functional
REQ-10,购物车结算过程应包含“待结算、校验中、结算成功、结算失败”四种状态；用户提交结算请求后状态由“待结算”变为“校验中”；校验全部通过后变为“结算成功”；任一校验失败后变为“结算失败”。,functional
REQ-11,系统不得直接信任客户端传入的最终金额，最终金额必须由系统根据商品单价、购买数量、库存和运费规则重新计算。,functional
REQ-12,单个购物车结算请求的处理时间应少于200毫秒。,performance
REQ-13,对于相同的输入，系统应返回稳定且一致的计算结果。,consistency
