tc_id,req_id,coverage_id,test_method,priority,preconditions,test_data,steps,expected_result
TC-01,REQ-1,CI-01,Equivalence Partitioning,High,"User is logged in, has a non-empty shopping cart with one valid product (e.g., product A with unit price 100.00, quantity 2, stock 10).","Cart: [{product_id: 'P001', unit_price: 100.00, quantity: 2, stock: 10}]",Navigate to checkout page | Click 'Submit Settlement' button,"System validates the single product successfully, proceeds to calculation, returns settlement success with correct order_original_price (200.00), shipping_fee (0.00 as >=200), final_amount (200.00), and status '结算成功'."
TC-02,REQ-1,CI-02,Equivalence Partitioning,High,"User is logged in, shopping cart contains multiple valid products (e.g., product A: unit_price=50, qty=2, stock=10; product B: unit_price=30, qty=3, stock=5).","Cart: [{'pid':'P01','price':50.00,'qty':2,'stock':10}, {'pid':'P02','price':30.00,'qty':3,'stock':5}]",Navigate to checkout page | Click 'Submit Settlement',"System calculates product subtotals (100.00, 90.00), order_original_price=190.00, shipping fee=10.00 (since <200), final_amount=200.00, status success."
TC-03,REQ-2,CI-03,Equivalence Partitioning,High,"User is logged in, shopping cart is empty.",Cart: [],Navigate to checkout page | Click 'Submit Settlement',"System rejects settlement immediately, returns status '结算失败', error message '购物车不能为空', and cart remains empty."
TC-04,REQ-2,CI-04,Boundary Value Analysis,High,"User is logged in, shopping cart contains one product with unit_price = 0 (invalid).","Cart: [{'pid':'P01','price':0.00,'qty':1,'stock':100}]",Navigate to checkout page | Click 'Submit Settlement',"System rejects settlement, error message '商品单价非法', status '结算失败'. No calculations performed."
TC-05,REQ-2,CI-05,Equivalence Partitioning,High,"User is logged in, cart contains a product with quantity = 2.5 (decimal, invalid).","Cart: [{'pid':'P01','price':10.00,'qty':2.5,'stock':10}]",Navigate to checkout page | Click 'Submit Settlement',"System rejects settlement, error message '购买数量非法', status '结算失败'."
TC-06,REQ-2,CI-06,Equivalence Partitioning,High,"User is logged in, cart contains a product with quantity = 20 but stock = 10 (exceeds stock).","Cart: [{'pid':'P01','price':10.00,'qty':20,'stock':10}]",Navigate to checkout page | Click 'Submit Settlement',"System rejects settlement, error message '库存不足', status '结算失败'."
TC-07,REQ-3,CI-07,Equivalence Partitioning,Medium,"User is logged in, cart is empty.",Cart: [],Navigate to checkout page | Click 'Submit Settlement',System displays error message '购物车不能为空' and status '结算失败'.
TC-08,REQ-3,CI-08,Equivalence Partitioning,Medium,"User is logged in, cart has one product with unit_price = -5 (illegal).","Cart: [{'pid':'P01','price':-5.00,'qty':1,'stock':10}]",Navigate to checkout page | Click 'Submit Settlement',System displays error message '商品单价非法' and settlement fails.
TC-09,REQ-3,CI-09,Equivalence Partitioning,Medium,"Cart product qty > stock. Example: qty=5, stock=3.","Cart: [{'pid':'P01','price':20.00,'qty':5,'stock':3}]",Navigate to checkout | Click submit,"Error message '库存不足' displayed, status '结算失败'."
TC-10,REQ-4,CI-10,Equivalence Partitioning,High,"Single product in cart: price=12.50, qty=4, stock=10.","Cart: [{'pid':'P01','price':12.50,'qty':4,'stock':10}]",Submit settlement,"Product subtotal computed as 50.00 (12.50*4). Order_original_price=50.00, shipping=10.00, final=60.00. Success."
